id	url	name	name	street_address	locality	region	postal_code	acres	counties	adopted_2017_standards_&_practices	number_of_board_members	number_of_full_time_staff	number_of_supporters	number_of_volunteers	year_first_joined	features
mianus-river-gorge-inc-ny	https://findalandtrust.org/land-trusts/explore/mianus-river-gorge-inc-ny	Mianus River Gorge, Inc.	Mianus River Gorge, Inc.	167 Mianus River Rd	Bedford	NY	10506-1808	69	Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham	Yes	17	3	996	125	1998	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
kiawah-island-natural-habitat-conservancy-sc	https://findalandtrust.org/land-trusts/explore/kiawah-island-natural-habitat-conservancy-sc	Kiawah Island Natural Habitat Conservancy	Kiawah Island Natural Habitat Conservancy	80 Kestrel Ct	Kiawah Island	SC	29455-5657	2,273	Charleston	Yes	23	4	664	58	1998	Volunteer Opportunities|Forests|Wildlife Habitat
land-trust-of-santa-clara-valley-ca	https://findalandtrust.org/land-trusts/explore/land-trust-of-santa-clara-valley-ca	Land Trust of Santa Clara Valley	Land Trust of Santa Clara Valley	605 Tennant Ave Ste H	Morgan Hill	CA	95037-5529	1,541	Santa Clara	Yes	6	1	1	1	1998	Public Access|Volunteer Opportunities|Agricultural Land|Wildlife Habitat
waterford-land-trust-inc-ct	https://findalandtrust.org/land-trusts/explore/waterford-land-trust-inc-ct	Waterford Land Trust, Inc.						326	New London	Yes	12		161		2005	
the-westerly-land-trust-ri	https://findalandtrust.org/land-trusts/explore/the-westerly-land-trust-ri	The Westerly Land Trust	The Westerly Land Trust	PO Box 601	Westerly	RI	02891-0601	1,716	Washington	Yes	17	3	600	80	1998	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
tiverton-land-trust-ri	https://findalandtrust.org/land-trusts/explore/tiverton-land-trust-ri	Tiverton Land Trust	Tiverton Land Trust	PO Box 167	Tiverton	RI	02878-0167	541	Newport	Yes	10		300	60	1998	Public Access|Volunteer Opportunities
cibolo-conservancy-tx	https://findalandtrust.org/land-trusts/explore/cibolo-conservancy-tx	Cibolo Conservancy	Cibolo Conservancy	PO Box 136	Boerne	TX	78006-0136	12,800	Anderson, Andrews, Angelina, Aransas, Archer, Armstrong, Atascosa, Austin, Bailey, Bandera, Bastrop, Baylor, Bee, Bell, Bexar, Blanco, Borden, Bosque, Bowie, Brazoria, Brazos, Brewster, Briscoe, Brooks, Brown, Burleson, Burnet, Caldwell, Calhoun, Callahan, Cameron, Camp, Carson, Cass, Castro, Chambers, Cherokee, Childress, Clay, Cochran, Coke, Coleman, Collin, Collingsworth, Colorado, Comal, Comanche, Concho, Cooke, Coryell, Cottle, Crane, Crockett, Crosby, Culberson, Dallam, Dallas, Dawson, Deaf Smith, Delta, Denton, De Witt, Dickens, Dimmit, Donley, Duval, Eastland, Ector, Edwards, Ellis, El Paso, Erath, Falls, Fannin, Fayette, Fisher, Floyd, Foard, Fort Bend, Franklin, Freestone, Frio, Gaines, Galveston, Garza, Gillespie, Glasscock, Goliad, Gonzales, Gray, Grayson, Gregg, Grimes, Guadalupe, Hale, Hall, Hamilton, Hansford, Hardeman, Hardin	Yes	10	1	56	8	1999	Volunteer Opportunities
jo-daviess-conservation-foundation-il	https://findalandtrust.org/land-trusts/explore/jo-daviess-conservation-foundation-il	Jo Daviess Conservation Foundation	Jo Daviess Conservation Foundation	126 North Main Street, PO Box 216	Elizabeth	IL	61028-0216	7,532	Carroll, Jo Daviess	Yes	15	10			1998	Trails|Public Access|Agricultural Land|Forests|Wildlife Habitat
wilton-land-conservation-trust-ct	https://findalandtrust.org/land-trusts/explore/wilton-land-conservation-trust-ct	Wilton Land Conservation Trust	Wilton Land Conservation Trust	PO Box 77	Wilton	CT	06897-0077	815	Fairfield	Yes	18		340	10	1991	Public Access|Volunteer Opportunities
wolcott-land-conservation-trust-ct	https://findalandtrust.org/land-trusts/explore/wolcott-land-conservation-trust-ct	Wolcott Land Conservation Trust	Wolcott Land Conservation Trust	PO Box 6004	Wolcott	CT	06716-0004	229	New Haven	Yes	8		85	4	2009	Public Access|Volunteer Opportunities
green-spaces-alliance-of-south-texas-tx	https://findalandtrust.org/land-trusts/explore/green-spaces-alliance-of-south-texas-tx	Green Spaces Alliance of South Texas	Green Spaces Alliance of South Texas	PO Box 15275	San Antonio	TX	78212-8475	59,816	Bexar, Blanco, Comal, Kendall, Medina, Uvalde	Yes	12	5	350	250	1998	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Wildlife Habitat
joshua-s-trust-joshua-s-tract-conservation-and-historic-trust-ct	https://findalandtrust.org/land-trusts/explore/joshua-s-trust-joshua-s-tract-conservation-and-historic-trust-ct	Joshua's Trust (Joshua's Tract Conservation and Historic Trust)	Joshua's Trust (Joshua's Tract Conservation and Historic Trust)	PO Box 4	Mansfield Center	CT	06250-0004	4,670	New London, Tolland, Windham	Yes	11	1	600	315	1997	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
mud-creek-conservancy-inc-in	https://findalandtrust.org/land-trusts/explore/mud-creek-conservancy-inc-in	Mud Creek Conservancy, Inc.	Mud Creek Conservancy, Inc.	7399 Shadeland Ave #200	Indianapolis	IN	46250-2052	42	Hamilton, Madison, Marion	Yes	6		110	20	1998	Public Access|Volunteer Opportunities
nevada-land-trust-nv	https://findalandtrust.org/land-trusts/explore/nevada-land-trust-nv	Nevada Land Trust	Nevada Land Trust	PO Box 20288	Reno	NV	89515-0288	360	Alpine	Yes	12	4	150	2	1998	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
shasta-land-trust-ca	https://findalandtrust.org/land-trusts/explore/shasta-land-trust-ca	Shasta Land Trust	Shasta Land Trust	5170 Bechelli Lane	Redding	CA	96002-3503	24,489	Shasta	Yes	8	4	1,200	250	1998	Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
bayou-land-conservancy-tx	https://findalandtrust.org/land-trusts/explore/bayou-land-conservancy-tx	Bayou Land Conservancy	Bayou Land Conservancy	10330 Lake Rd Bldg J	Houston	TX	77070-1886	14,196	Angelina, Brazoria, Fort Bend, Galveston, Grimes, Harris, Jefferson, Liberty, Matagorda, Montgomery, Roberts, Waller, Washington, Wharton	Yes	13	5	350	150	1998	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
dunstable-rural-land-trust-ma	https://findalandtrust.org/land-trusts/explore/dunstable-rural-land-trust-ma	Dunstable Rural Land Trust	Dunstable Rural Land Trust	1070 Main St	Dunstable	MA	01827-1119	1,116	Middlesex	Yes	10		200	20	1998	Public Access|Volunteer Opportunities
cape-vincent-village-green-inc-ny	https://findalandtrust.org/land-trusts/explore/cape-vincent-village-green-inc-ny	Cape Vincent Village Green, Inc.	Cape Vincent Village Green, Inc.	PO Box 615	Cape Vincent	NY	13618-0615	1	Jefferson	Yes	7		50	12	1998	Public Access|Volunteer Opportunities
wintonbury-land-trust-ct	https://findalandtrust.org/land-trusts/explore/wintonbury-land-trust-ct	Wintonbury Land Trust	Wintonbury Land Trust	PO Box 734	Bloomfield	CT	06002-0734	295	Hartford	Yes	9		150	40	1998	Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
patuxent-tidewater-land-trust-md	https://findalandtrust.org/land-trusts/explore/patuxent-tidewater-land-trust-md	Patuxent Tidewater Land Trust	Patuxent Tidewater Land Trust	PO Box 1955	Leonardtown	MD	20650-1955	5,627	Anne Arundel, St. Mary's	Yes	10		30	15	1998	Trails|Volunteer Opportunities|Agricultural Land|Forests
phippsburg-land-trust-me	https://findalandtrust.org/land-trusts/explore/phippsburg-land-trust-me	Phippsburg Land Trust	Phippsburg Land Trust	PO Box 123	Phippsburg	ME	04562-0123	1,600	Sagadahoc	Yes	18		300	30	1998	Public Access|Volunteer Opportunities
dancing-rabbit-land-trust-mo	https://findalandtrust.org/land-trusts/explore/dancing-rabbit-land-trust-mo	Dancing Rabbit Land Trust	Dancing Rabbit Land Trust	1 Dancing Rabbit Ln Unit 18	Rutledge	MO	63563-9779	280	Scotland	Yes	8		150	50	1998	Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
south-hero-land-trust-vt	https://findalandtrust.org/land-trusts/explore/south-hero-land-trust-vt	South Hero Land Trust	South Hero Land Trust	PO Box 455	South Hero	VT	05486-0455	125	Grand Isle	Yes	8	1	435	139	1997	Trails|Volunteer Opportunities
southington-land-conservation-trust-ct	https://findalandtrust.org/land-trusts/explore/southington-land-conservation-trust-ct	Southington Land Conservation Trust	Southington Land Conservation Trust	76 North Main Street	Southington	CT	06489-2546	44	Hartford	Yes	8		30	20	2008	Volunteer Opportunities
lummi-island-heritage-trust-wa	https://findalandtrust.org/land-trusts/explore/lummi-island-heritage-trust-wa	Lummi Island Heritage Trust	Lummi Island Heritage Trust	PO Box 158	Lummi Island	WA	98262-0158	1,095	Whatcom	Yes	13	2	500	200	1997	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
simsbury-land-trust-ct	https://findalandtrust.org/land-trusts/explore/simsbury-land-trust-ct	Simsbury Land Trust	Simsbury Land Trust	PO Box 634	Simsbury	CT	06070-0634	894	Hartford	Yes	19		750	40	2001	Public Access|Volunteer Opportunities
mississippi-valley-conservancy-wi	https://findalandtrust.org/land-trusts/explore/mississippi-valley-conservancy-wi	Mississippi Valley Conservancy	Mississippi Valley Conservancy	PO Box 2611	La Crosse	WI	54602-2611	22,350	Buffalo, Crawford, Grant, Jackson, La Crosse, Monroe, Richland, Trempealeau, Vernon	Yes	22	9	1,588	140	1998	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
steep-rock-association-ct	https://findalandtrust.org/land-trusts/explore/steep-rock-association-ct	Steep Rock Association	Steep Rock Association	PO Box 279 116 Christian St	Washington Depot	CT	06794-0279	5,681	Litchfield	Yes	26	5	600	200	2003	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
saginaw-basin-land-conservancy-mi	https://findalandtrust.org/land-trusts/explore/saginaw-basin-land-conservancy-mi	Saginaw Basin Land Conservancy	Saginaw Basin Land Conservancy	706 S Euclid Ave	Bay City	MI	48706-3304	5,884	Arenac, Bay, Clare, Genesee, Gladwin, Gratiot, Huron, Iosco, Isabella, Lapeer, Livingston, Mecosta, Midland, Montcalm, Ogemaw, Osceola, Roscommon, Saginaw, Sanilac, Shiawassee, Tuscola	Yes	16	4	350	150	1997	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
colorado-open-lands-co	https://findalandtrust.org/land-trusts/explore/colorado-open-lands-co	Colorado Open Lands	Colorado Open Lands	1546 Cole Blvd #200	Lakewood	CO	80401-3406	435,973	Adams, Alamosa, Arapahoe, Archuleta, Baca, Bent, Boulder, Broomfield, Chaffee, Cheyenne, Clear Creek, Conejos, Costilla, Crowley, Custer, Delta, Denver, Dolores, Douglas, Eagle, Elbert, El Paso, Fremont, Garfield, Gilpin, Grand, Gunnison, Hinsdale, Huerfano, Jackson, Jefferson, Kiowa, Kit Carson, Lake, La Plata, Larimer, Las Animas, Lincoln, Logan, Mesa, Mineral, Moffat, Montezuma, Montrose, Morgan, Otero, Ouray, Park, Phillips, Pitkin, Prowers, Pueblo, Rio Blanco, Rio Grande, Routt, Saguache, San Juan, San Miguel, Sedgwick, Summit, Teller, Washington, Weld, Yuma	Yes	24	18	850	9	1988	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
bear-paw-regional-greenways-nh	https://findalandtrust.org/land-trusts/explore/bear-paw-regional-greenways-nh	Bear-Paw Regional Greenways	Bear-Paw Regional Greenways	PO Box 19	Deerfield	NH	03037-0019	9,400	Belknap, Merrimack, Rockingham, Strafford	Yes	12	3	391	20	2000	Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
obi-land-trust-ny	https://findalandtrust.org/land-trusts/explore/obi-land-trust-ny	OBI Land Trust	OBI Land Trust	PO Box 117	Chaumont	NY	13622-0117	759	Jefferson	Yes	9		100	5	2000	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
caledonia-conservancy-wi	https://findalandtrust.org/land-trusts/explore/caledonia-conservancy-wi	Caledonia Conservancy	Caledonia Conservancy	PO Box 044714	Racine	WI	53404-7015	319	Racine	Yes	12	1	198	85	1997	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
conservancy-for-charles-county-md	https://findalandtrust.org/land-trusts/explore/conservancy-for-charles-county-md	Conservancy for Charles County	Conservancy for Charles County	PO Box 1358	Waldorf	MD	20604-1358	2,117	Charles	Yes	9		55	10	1997	Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
tapteal-greenway-wa	https://findalandtrust.org/land-trusts/explore/tapteal-greenway-wa	Tapteal Greenway	Tapteal Greenway	PO Box 2002	Richland	WA	99352-6202	105	Benton, Franklin	Yes	7		220	70	1997	Public Access|Volunteer Opportunities
new-river-conservancy-nc	https://findalandtrust.org/land-trusts/explore/new-river-conservancy-nc	New River Conservancy	New River Conservancy	PO Box 1480	West Jefferson	NC	28694-1480	3,985	Alleghany, Ashe, Watauga	Yes	12	4	913	832	2004	Volunteer Opportunities
the-native-prairies-association-of-texas-tx	https://findalandtrust.org/land-trusts/explore/the-native-prairies-association-of-texas-tx	The Native Prairies Association of Texas	The Native Prairies Association of Texas	415 N Guadalupe Street PMB 385	San Marcos	TX	78666-5719	4,450	Anderson, Andrews, Angelina, Aransas, Archer, Armstrong, Atascosa, Austin, Bailey, Bandera, Bastrop, Baylor, Bee, Bell, Bexar, Blanco, Borden, Bosque, Bowie, Brazoria, Brazos, Brewster, Briscoe, Brooks, Brown, Burleson, Burnet, Caldwell, Calhoun, Callahan, Cameron, Camp, Carson, Cass, Castro, Chambers, Cherokee, Childress, Clay, Cochran, Coke, Coleman, Collin, Collingsworth, Colorado, Comal, Comanche, Concho, Cooke, Coryell, Cottle, Crane, Crockett, Crosby, Culberson, Dallam, Dallas, Dawson, Deaf Smith, Delta, Denton, De Witt, Dickens, Dimmit, Donley, Duval, Eastland, Ector, Edwards, Ellis, El Paso, Erath, Falls, Fannin, Fayette, Fisher, Floyd, Foard, Fort Bend, Franklin, Freestone, Frio, Gaines, Galveston, Garza, Gillespie, Glasscock, Goliad, Gonzales, Gray, Grayson, Gregg, Grimes, Guadalupe, Hale, Hall, Hamilton, Hansford, Hardeman, Hardin	Yes	8	2	350	50	1999	Volunteer Opportunities
friends-of-the-outlet-ny	https://findalandtrust.org/land-trusts/explore/friends-of-the-outlet-ny	Friends of the Outlet						300	Yates	Yes	9		200	25	1998	Public Access|Volunteer Opportunities
land-trust-of-bucks-county-pa	https://findalandtrust.org/land-trusts/explore/land-trust-of-bucks-county-pa	Land Trust of Bucks County	Land Trust of Bucks County	PO Box 208	Bedminster	PA	18910-0208	5,280	Bucks	Yes	9		250	50	1997	Volunteer Opportunities
cascabel-conservation-association-az	https://findalandtrust.org/land-trusts/explore/cascabel-conservation-association-az	Cascabel Conservation Association	Cascabel Conservation Association	6146 N Canyon Rd	Benson	AZ	85602-8333	1,553	Cochise	Yes	8	1	200	25	1998	Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
suffield-land-conservancy-ct	https://findalandtrust.org/land-trusts/explore/suffield-land-conservancy-ct	Suffield Land Conservancy						600	Hartford	Yes	12		90	10	2003	Public Access|Volunteer Opportunities
cragsmoor-conservancy-inc-ny	https://findalandtrust.org/land-trusts/explore/cragsmoor-conservancy-inc-ny	Cragsmoor Conservancy, Inc.	Cragsmoor Conservancy, Inc.	PO Box 38	Cragsmoor	NY	12420-0038	55	Ulster	Yes	8		76	3	2006	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
woodie-wheaton-land-trust-me	https://findalandtrust.org/land-trusts/explore/woodie-wheaton-land-trust-me	Woodie Wheaton Land Trust	Woodie Wheaton Land Trust	2 Grove Rd	Forest City Twp	ME	04413-4202	9,996	Aroostook, Washington	Yes	14	1	700	20	2017	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
ogden-valley-land-trust-ut	https://findalandtrust.org/land-trusts/explore/ogden-valley-land-trust-ut	Ogden Valley Land Trust	Ogden Valley Land Trust	PO Box 412	Huntsville	UT	84317-0412	6,021	Weber	Yes	14		105	1	1998	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
candlewood-valley-regional-land-trust-ct	https://findalandtrust.org/land-trusts/explore/candlewood-valley-regional-land-trust-ct	Candlewood Valley Regional Land Trust	Candlewood Valley Regional Land Trust	PO Box 32	Danbury	CT	06813-0032	406	Fairfield	Yes	11		135	10	2003	Volunteer Opportunities
bitter-root-land-trust-mt	https://findalandtrust.org/land-trusts/explore/bitter-root-land-trust-mt	Bitter Root Land Trust	Bitter Root Land Trust	PO Box 1806	Hamilton	MT	59840-1806	9,212	Ravalli	Yes	13	7	600	100	1997	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
little-forks-conservancy-mi	https://findalandtrust.org/land-trusts/explore/little-forks-conservancy-mi	Little Forks Conservancy	Little Forks Conservancy	PO Box 2847	Midland	MI	48641-2847	3,810	Bay, Clare, Clare, Gladwin, Mecosta, Midland, Montcalm, Ogemaw, Roscommon	Yes	9	3	300	38	1997	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
northeast-wisconsin-land-trust-wi	https://findalandtrust.org/land-trusts/explore/northeast-wisconsin-land-trust-wi	Northeast Wisconsin Land Trust	Northeast Wisconsin Land Trust	14 Tri Park Way Bldg 1 Ste 1	Appleton	WI	54914-6430	6,050	Brown, Calumet, Green Lake, Langlade, Marinette, Marquette, Menominee, Oconto, Outagamie, Shawano, Waupaca, Waushara, Winnebago	Yes	12	4	750	50	1997	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
redding-land-trust-inc-ct	https://findalandtrust.org/land-trusts/explore/redding-land-trust-inc-ct	Redding Land Trust, Inc.	Redding Land Trust, Inc.	PO Box 1076	Redding Center	CT	06875-1076	1,830	Fairfield	Yes	10		300	25	1996	Public Access|Volunteer Opportunities
westborough-community-land-trust-ma	https://findalandtrust.org/land-trusts/explore/westborough-community-land-trust-ma	Westborough Community Land Trust	Westborough Community Land Trust	PO Box 838	Westborough	MA	01581-0838	196	Worcester	Yes	10		144	49	1997	Trails|Public Access|Volunteer Opportunities|Forests
green-lake-conservancy-wi	https://findalandtrust.org/land-trusts/explore/green-lake-conservancy-wi	Green Lake Conservancy	Green Lake Conservancy	PO Box 52	Green Lake	WI	54941-0052	905	Fond du Lac, Green Lake	Yes	14		125	25	1996	Public Access|Volunteer Opportunities
sharon-land-trust-ct	https://findalandtrust.org/land-trusts/explore/sharon-land-trust-ct	Sharon Land Trust	Sharon Land Trust	PO Box 1027	Sharon	CT	06069-1027	3,200	Litchfield	Yes	10		350	50	1998	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
sheriff-s-meadow-foundation-ma	https://findalandtrust.org/land-trusts/explore/sheriff-s-meadow-foundation-ma	Sheriff's Meadow Foundation	Sheriff's Meadow Foundation	PO Box 1088	Vineyard Haven	MA	02568-0902	3,212	Dukes	Yes	32	7	753	100	1997	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
sudbury-valley-trustees-ma	https://findalandtrust.org/land-trusts/explore/sudbury-valley-trustees-ma	Sudbury Valley Trustees	Sudbury Valley Trustees	18 Wolbach Rd	Sudbury	MA	01776-2429	8,695	Middlesex, Worcester	Yes	17	14	3,000	200	1988	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
hunterdon-land-trust-nj	https://findalandtrust.org/land-trusts/explore/hunterdon-land-trust-nj	Hunterdon Land Trust	Hunterdon Land Trust	111 Mine Street	Flemington	NJ	08822-1573	8,213	Hunterdon	Yes	10	3	100	15	1996	Public Access|Volunteer Opportunities
watershed-agricultural-council-ny	https://findalandtrust.org/land-trusts/explore/watershed-agricultural-council-ny	Watershed Agricultural Council	Watershed Agricultural Council	33195 State Hwy 10	Walton	NY	13856-2159	31,867	Delaware, Greene, Putnam, Schoharie, Sullivan, Ulster	Yes	17	9	52		1996	
shelton-land-conservation-trust-ct	https://findalandtrust.org/land-trusts/explore/shelton-land-conservation-trust-ct	Shelton Land Conservation Trust						377	Fairfield	Yes	13		200	20	2002	Public Access|Volunteer Opportunities
forest-society-of-maine-me	https://findalandtrust.org/land-trusts/explore/forest-society-of-maine-me	Forest Society of Maine	Forest Society of Maine	115 Franklin St, 3rd Floor	Bangor	ME	04401-4973	891,825	Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington, York	Yes	23	9	510		1997	Trails|Public Access|Forests|Wildlife Habitat
rehoboth-land-trust-ma	https://findalandtrust.org/land-trusts/explore/rehoboth-land-trust-ma	Rehoboth Land Trust	Rehoboth Land Trust	16 Williams St PO Box 335	Rehoboth	MA	02769-2610	125	Bristol	Yes	9		110	5	2006	Public Access|Volunteer Opportunities
north-branford-land-conservation-trust-ct	https://findalandtrust.org/land-trusts/explore/north-branford-land-conservation-trust-ct	North Branford Land Conservation Trust	North Branford Land Conservation Trust	PO Box 378	North Branford	CT	06471-0378	273	New Haven	Yes	9		100	12	2015	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
forest-trust-nm	https://findalandtrust.org/land-trusts/explore/forest-trust-nm	Forest Trust	Forest Trust	PO Box 8309	Santa Fe	NM	87504-8309	9,476	Los Alamos, Mora, Rio Arriba, San Miguel, Santa Fe, Taos	Yes	5		12		1998	
neighborspace-il	https://findalandtrust.org/land-trusts/explore/neighborspace-il	NeighborSpace	NeighborSpace	445 N Sacramento Blvd, Ste 204	Chicago	IL	60612-1711	13	Cook	Yes	12	2		1,125	1996	Volunteer Opportunities
six-rivers-land-conservancy-mi	https://findalandtrust.org/land-trusts/explore/six-rivers-land-conservancy-mi	Six Rivers Land Conservancy	Six Rivers Land Conservancy	PO Box 80902	Rochester	MI	48308-0902	2,685	Genesee, Lapeer, Macomb, Oakland, St. Clair	Yes	14	8	450	10	1996	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
north-county-land-trust-inc-ma	https://findalandtrust.org/land-trusts/explore/north-county-land-trust-inc-ma	North County Land Trust, Inc.	North County Land Trust, Inc.	325 Lindell Ave	Leominster	MA	01453-5414	4,908	Middlesex, Worcester	Yes	9		210	25	1996	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
westmoreland-conservancy-pa	https://findalandtrust.org/land-trusts/explore/westmoreland-conservancy-pa	Westmoreland Conservancy	Westmoreland Conservancy	PO Box 446	Murrysville	PA	15668-0446	527	Westmoreland	Yes	9		220	15	2001	Public Access|Volunteer Opportunities
land-savers-united-va	https://findalandtrust.org/land-trusts/explore/land-savers-united-va	Land Savers United	Land Savers United	1305 Maple Ave. SW	Roanoke	VA	24016-4913	172,630	Bedford, Botetourt, Craig, Floyd, Franklin, Montgomery, Roanoke, Roanoke, Salem	Yes	17	2	500	6	1997	Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
land-conservancy-of-ridgefield-inc-ct	https://findalandtrust.org/land-trusts/explore/land-conservancy-of-ridgefield-inc-ct	Land Conservancy of Ridgefield, Inc.	Land Conservancy of Ridgefield, Inc.	PO Box 32	Ridgefield	CT	06877-0032	710	Fairfield	Yes	9		30	2	2003	Volunteer Opportunities|Forests|Wildlife Habitat
headwaters-land-conservancy-mi	https://findalandtrust.org/land-trusts/explore/headwaters-land-conservancy-mi	HeadWaters Land Conservancy	HeadWaters Land Conservancy	110 South Elm Ave	Gaylord	MI	49735-1313	13,047	Alcona, Alpena, Arenac, Crawford, Iosco, Montmorency, Ogemaw, Oscoda, Otsego, Presque Isle, Roscommon	Yes	9	3	270	20	1996	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
southern-idaho-land-trust-id	https://findalandtrust.org/land-trusts/explore/southern-idaho-land-trust-id	Southern Idaho Land Trust	Southern Idaho Land Trust	PO Box 2544	Twin Falls	ID	83303-2544	1,060	Cassia, Elmore, Gooding, Jerome, Lincoln, Minidoka, Power, Twin Falls	Yes	7		10	150	1996	Volunteer Opportunities
rio-grande-agricultural-land-trust-nm	https://findalandtrust.org/land-trusts/explore/rio-grande-agricultural-land-trust-nm	Rio Grande Agricultural Land Trust	Rio Grande Agricultural Land Trust	PO Box 40043	Albuquerque	NM	87196-0043	6,269	Bernalillo, Sandoval, Sierra, Socorro, Valencia	Yes	7	1	65	12	1999	Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
fox-chapel-area-land-trust-pa	https://findalandtrust.org/land-trusts/explore/fox-chapel-area-land-trust-pa	Fox Chapel Area Land Trust						77	Allegheny	Yes	10		123		1987	Public Access
chippewa-watershed-conservancy-mi	https://findalandtrust.org/land-trusts/explore/chippewa-watershed-conservancy-mi	Chippewa Watershed Conservancy	Chippewa Watershed Conservancy	306 South University Ave	Mount Pleasant	MI	48858-2525	5,329	Clare, Gratiot, Isabella, Mecosta, Midland, Montcalm	Yes	9	2	600	100	1996	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
sierra-foothill-conservancy-ca	https://findalandtrust.org/land-trusts/explore/sierra-foothill-conservancy-ca	Sierra Foothill Conservancy	Sierra Foothill Conservancy	PO Box 691	Mariposa	CA	95338-0691	34,392	Fresno, Madera, Mariposa, Merced, Tulare, Tuolumne	Yes	15	6	1,100	250	1996	Public Access|Volunteer Opportunities
newtown-forest-association-ct	https://findalandtrust.org/land-trusts/explore/newtown-forest-association-ct	Newtown Forest Association	Newtown Forest Association	PO Box 213	Newtown	CT	06470-0213	1,434	Fairfield	Yes	12		130	4	2004	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
standing-cedars-community-land-conservancy-wi	https://findalandtrust.org/land-trusts/explore/standing-cedars-community-land-conservancy-wi	Standing Cedars Community Land Conservancy						8	Chisago	Yes	13		70	100	1996	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
manada-conservancy-pa	https://findalandtrust.org/land-trusts/explore/manada-conservancy-pa	Manada Conservancy	Manada Conservancy	PO Box 25 113 East Main Street	Hummelstown	PA	17036-0025	2,294	Dauphin	Yes	13	1	450	45	1998	Public Access|Volunteer Opportunities
